account_id,source_game_id,champion,game_id_list,begin_time,end_time
Lz-WrHMfRxkcKcfPhfnz6w4Hkn6Rg2rzQv4F_Gdj0IXr0Ps,3701153968,26,"[3701153968, 3700850022, 3674067235, 3673907631]",1605288642509,1607707842509
SLIWDrG9p-QTpUrhAO1KFe5Jo4ifZdqnctK5ORT8jioG4W3QQkzdTcVy,3701153968,1,"[3701153968, 3701086490, 3701083626, 3700643222, 3700498891, 3700216323, 3700082042, 3700042035, 3699914328, 3699844838, 3699860292, 3699776654, 3699810441, 3699748367, 3699731197, 3699709892, 3699645166, 3696231793, 3696139247, 3696191385, 3696107962, 3696013451, 3696030157, 3694812238, 3694780525, 3694704797, 3694605490, 3693486777, 3693480093, 3693425663, 3693402629, 3693288332]",1606498242509,1607707842509
ttb3yPA6vS5mKqFJXKMInhub5TzR_fZ_f6X2xlANb7foCg,3701153968,75,[3701153968],1604079042509,1607707842509
O3CqwxVuQvYd2xhNRlj9ZLBnrg2OavMpl0eaD0h6f3rvsQI,3701153968,121,[],1604079042509,1607707842509
fUjXS5cQvsrL45YZ2a4BVl-nwn0Lnhm6vDxXrZryHDqiSPI,3701153968,267,"[3701153968, 3701121123, 3701095304, 3701019135, 3701006089, 3700938967, 3700931769, 3700852913, 3700787666, 3699892383, 3699816887, 3699783456, 3699770546, 3699731197, 3699645166, 3699577556, 3699574734, 3699619831, 3699554830, 3699491319, 3699428114, 3699482627, 3699405758, 3699338732, 3699310104, 3698807784, 3698822842, 3698790671, 3698747938, 3698725496, 3698732323, 3698760007, 3698427180, 3698288477, 3698139608, 3698124747, 3698100214, 3698060871, 3698012881, 3697945156, 3697868435, 3697418518, 3697452713, 3697229344, 3697036785, 3697010394, 3696834401, 3696738314, 3696713319, 3696623546, 3696595584, 3696599876, 3696436720, 3696420114, 3696101013, 3696006397, 3696012488, 3695878311, 3695903329, 3695860288, 3695796120, 3695747415, 3695669352, 3695694457, 3695610277, 3695530307, 3695483582, 3695405275, 3695297868, 3695178778, 3694477162, 3694354912, 3694279018, 3694241420, 3694035759, 3693937796, 3693861143, 3693804961, 3693769778, 3693686165, 3693681718, 3693288332, 3693274397, 3693290747, 3692971618, 3692832314, 3692704432, 3692590864, 3692479474, 3692357546, 3692369802, 3692208715]",1606498242509,1607707842509
YJ3_XHjL8h889QMoTKjQaBeTd9vvb8ZCROFiI6hcMWiQNZSLF_w9SY1o,3701153968,236,"[3701153968, 3696012488, 3694402649, 3694317494, 3688413812]",1605893442509,1607707842509
lcfT__tE3pjVjbdGa77rfuZKgGDWO1khYlf40uEYsIxkNHc,3701153968,427,[3701153968],1604079042509,1607707842509
Qh1SDSZ9oVNyfnAnT0alt2eup5SrD7TtfDJzsPrsDGlI3QGtrFH9jeDr,3701153968,777,"[3701153968, 3698812875, 3697481326, 3694655952, 3693457020]",1606498242509,1607707842509
xujhHwZ6-mmIb40Q0WlzY6TiJQkB0gHtlQBdmaR9BCh7lDI,3701153968,17,"[3701153968, 3699957795, 3699921372, 3699886720]",1605893442509,1607707842509
tnSJyVS-nyLHVXI3OuI0nHcPtdu60RpZG_XCzEAMLGFlaQ,3701153968,497,"[3701153968, 3698871381, 3697156824, 3695506980, 3693969512, 3693880812]",1606498242509,1607707842509
MrG_V9xJZzJPdmpmgYNHkedNj9xEQC6gWJRCTcVLFUKeow,3701121123,91,"[3701121123, 3698395683, 3695915077, 3692546430, 3692251774]",1606495938040,1607705538040
iJnEHA79AJ8rBiejqDzZP4wjLkl6d26I7FJVzwylLHlkZE5VdYwauZWT,3701121123,20,"[3701121123, 3699851760, 3699812016, 3699748367, 3693457020]",1606495938040,1607705538040
u1LPwWiJKzlR_WktCrlIJcG8nMtLE6J24d0EaktYe9afyiK1emzAea-l,3701121123,75,"[3701121123, 3698961837, 3698915879, 3698849550, 3698826608, 3698803927, 3698189865, 3698070061, 3696803882, 3695997327, 3696012488, 3695833349, 3695747415, 3695609456, 3695553362, 3695456231, 3695282019, 3695158995]",1606495938040,1607705538040
tnSJyVS-nyLHVXI3OuI0nHcPtdu60RpZG_XCzEAMLGFlaQ,3701121123,12,"[3701121123, 3700868650, 3700069589, 3697212966, 3694199378, 3693159204, 3692398323]",1606495938040,1607705538040
jFa03MNYI7Bc86obLaAESYxvoEu6aJ0vSMp0BVR7Wdsn2Ss,3701121123,163,"[3701121123, 3698796099, 3697732051, 3696169638, 3692046816, 3691986064]",1606495938040,1607705538040
iv8izXBl_yngAfS78FGqGDRJipxRXM53fCI7apbpqtZPX60,3701121123,81,"[3701121123, 3699330656, 3696580258, 3696513613, 3696403254, 3696283367, 3695384874, 3694961358, 3693807704]",1606495938040,1607705538040
2EDdY-ax8DRCnHyhHSFyH0cQcXetjquyxI852rUdpITYKHk,3701121123,2,"[3701121123, 3701063196, 3701019135, 3700931769, 3699704620, 3699731197, 3699648678, 3699645166, 3699619009, 3699537503, 3699333038, 3699264894, 3699066707, 3698893899, 3698778263, 3698026926, 3697716403, 3697731376, 3697668044, 3697452713, 3697276691, 3697151395, 3697010394, 3696409493, 3695940351, 3695831662, 3695738350, 3695712036, 3695665907, 3695402529, 3695178610, 3694605490, 3694630990, 3694557279, 3694165509, 3693171875, 3692988799, 3692809543, 3692726988, 3692664239, 3692281740, 3692218904]",1606495938040,1607705538040
fUjXS5cQvsrL45YZ2a4BVl-nwn0Lnhm6vDxXrZryHDqiSPI,3701121123,267,"[3701121123, 3701095304, 3701019135, 3701006089, 3700938967, 3700931769, 3700852913, 3700787666, 3699892383, 3699816887, 3699783456, 3699770546, 3699731197, 3699645166, 3699577556, 3699574734, 3699619831, 3699554830, 3699491319, 3699428114, 3699482627, 3699405758, 3699338732, 3699310104, 3698807784, 3698822842, 3698790671, 3698747938, 3698725496, 3698732323, 3698760007, 3698427180, 3698288477, 3698139608, 3698124747, 3698100214, 3698060871, 3698012881, 3697945156, 3697868435, 3697418518, 3697452713, 3697229344, 3697036785, 3697010394, 3696834401, 3696738314, 3696713319, 3696623546, 3696595584, 3696599876, 3696436720, 3696420114, 3696101013, 3696006397, 3696012488, 3695878311, 3695903329, 3695860288, 3695796120, 3695747415, 3695669352, 3695694457, 3695610277, 3695530307, 3695483582, 3695405275, 3695297868, 3695178778, 3694477162, 3694354912, 3694279018, 3694241420, 3694035759, 3693937796, 3693861143, 3693804961, 3693769778, 3693686165, 3693681718, 3693288332, 3693274397, 3693290747, 3692971618, 3692832314, 3692704432, 3692590864, 3692479474, 3692357546, 3692369802, 3692208715]",1606495938040,1607705538040
